Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876269682	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876271062	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876272442	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876273822	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876276582	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1391	Original Packet Length: 1391
Time12/10/2015 17:46:21	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876275202	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:21	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 65518	Captured Packet Length: 203	Original Packet Length: 203
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 65518	Captured Packet Length: 70	Original Packet Length: 70
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 65518	TCP-Seq: 2591748258	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 65518	Captured Packet Length: 335	Original Packet Length: 335
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49213	TCP-Seq: 3301139412	Destination: [66, -21, -117, 1]	TCP-Port-Dst: 49213	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49214	TCP-Seq: 1438035848	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49214	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49215	TCP-Seq: 773572121	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49215	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49216	TCP-Seq: 310486196	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49216	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49216	TCP-Seq: 310486196	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 49216	Captured Packet Length: 81	Original Packet Length: 81
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49217	TCP-Seq: 2798732822	Destination: [50, 31, -92, -83]	TCP-Port-Dst: 49217	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49218	TCP-Seq: 252094818	Destination: [50, 31, -92, -83]	TCP-Port-Dst: 49218	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 49218	TCP-Seq: 252094818	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 49218	Captured Packet Length: 281	Original Packet Length: 281
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49219	TCP-Seq: 3854719298	Destination: [23, -21, 44, -81]	TCP-Port-Dst: 49219	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49220	TCP-Seq: 1790931869	Destination: [23, -21, 44, -81]	TCP-Port-Dst: 49220	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49221	TCP-Seq: 2535220274	Destination: [23, -21, 44, -81]	TCP-Port-Dst: 49221	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [104, 90, 7, -93]	TCP-Port-Src: 443	TCP-Seq: 1156686539	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [104, 90, 7, -93]	TCP-Port-Src: 443	TCP-Seq: 1767502955	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [104, 90, 7, -93]	TCP-Port-Src: 443	TCP-Seq: 2218519845	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49214	TCP-Seq: 1438035849	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49214	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49215	TCP-Seq: 773572122	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49215	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49216	TCP-Seq: 310486197	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49216	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49214	TCP-Seq: 1438035849	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49214	Captured Packet Length: 571	Original Packet Length: 571
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49215	TCP-Seq: 773572122	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49215	Captured Packet Length: 571	Original Packet Length: 571
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49216	TCP-Seq: 310486197	Destination: [104, 90, 7, -93]	TCP-Port-Dst: 49216	Captured Packet Length: 571	Original Packet Length: 571
Time12/10/2015 17:46:22	Source: [23, -21, 44, -81]	TCP-Port-Src: 443	TCP-Seq: 1718174877	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [23, -21, 44, -81]	TCP-Port-Src: 443	TCP-Seq: 2821871604	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 443	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876279299	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 134	Original Packet Length: 134
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876280759	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 134	Original Packet Length: 134
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876282219	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 134	Original Packet Length: 134
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876279379	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876280839	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876283679	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 134	Original Packet Length: 134
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876282299	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 74	Original Packet Length: 74
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 82	Original Packet Length: 82
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 74	Original Packet Length: 74
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876285139	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 134	Original Packet Length: 134
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876283759	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876285219	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 65518	TCP-Seq: 2591749344	Destination: [68, 71, -43, -78]	TCP-Port-Dst: 65518	Captured Packet Length: 54	Original Packet Length: 54
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876287979	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1233	Original Packet Length: 1233
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876286599	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [68, 71, -43, -78]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 1434	Original Packet Length: 1434
Time12/10/2015 17:46:22	Source: [-112, -89, -106, -107]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -105, -1]	TCP-Port-Dst: 80	Captured Packet Length: 58	Original Packet Length: 58
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 80	Captured Packet Length: 71	Original Packet Length: 71
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 80	Captured Packet Length: 84	Original Packet Length: 84
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 80	Captured Packet Length: 88	Original Packet Length: 88
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 206	Original Packet Length: 206
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 285	Original Packet Length: 285
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 80	Captured Packet Length: 74	Original Packet Length: 74
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 10, 1]	TCP-Port-Dst: 80	Captured Packet Length: 88	Original Packet Length: 88
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 10, 48]	TCP-Port-Dst: 80	Captured Packet Length: 88	Original Packet Length: 88
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 10, 1]	TCP-Port-Dst: 80	Captured Packet Length: 74	Original Packet Length: 74
Time12/10/2015 17:46:22	Source: [-112, -89, -107, -69]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, 10, 48]	TCP-Port-Dst: 80	Captured Packet Length: 74	Original Packet Length: 74
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 196	Original Packet Length: 196
Time12/10/2015 17:46:22	Source: [-112, -89, 10, 1]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 196	Original Packet Length: 196
Time12/10/2015 17:46:22	Source: [-112, -89, 10, 48]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 196	Original Packet Length: 196
Time12/10/2015 17:46:22	Source: [-112, -89, 5, 50]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 256	Original Packet Length: 256
Time12/10/2015 17:46:22	Source: [-112, -89, 10, 1]	TCP-Port-Src: 80	TCP-Seq: 3876277919	Destination: [-112, -89, -107, -69]	TCP-Port-Dst: 80	Captured Packet Length: 256	Original Packet Length: 256
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49162	TCP-Seq: 3886122300	Destination: [-83, -62, 115, 57]	TCP-Port-Dst: 49162	Captured Packet Length: 658	Original Packet Length: 658
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49162	TCP-Seq: 3886122904	Destination: [-83, -62, 115, 57]	TCP-Port-Dst: 49162	Captured Packet Length: 100	Original Packet Length: 100
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49222	TCP-Seq: 3416946464	Destination: [72, 21, 81, 64]	TCP-Port-Dst: 49222	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49222	TCP-Seq: 3416946464	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 49222	Captured Packet Length: 82	Original Packet Length: 82
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49223	TCP-Seq: 4252911984	Destination: [72, 21, 81, 64]	TCP-Port-Dst: 49223	Captured Packet Length: 66	Original Packet Length: 66
Time12/10/2015 17:46:23	Source: [-112, -89, -107, -69]	TCP-Port-Src: 49223	TCP-Seq: 4252911984	Destination: [-112, -89, 5, 50]	TCP-Port-Dst: 49223	Captured Packet Length: 75	Original Packet Length: 75
